Номер_группы;Название_группы;Название_группы_укр;Идентификатор_группы;Номер_родителя;Ссылка_изображения_группы
81305826;Индол-3-карбинол;Індол-3-карбінол;;81304983;https://images.prom.ua/6167724325_indol-3-karbinol.jpg
81305963;N-ацетилцистеин;N-ацетилцистеїн;;81304983;https://images.prom.ua/3229683588_n-atsetiltsistein.jpg
81306097;Кверцетин;Кверцетин;;81304983;https://images.prom.ua/3229687101_kvertsetin.jpg
81306188;Пирролохинолинхинон (PQQ);Пирролохинолинхинон (PQQ);;81304983;https://images.prom.ua/6167724404_pirrolohinolinhinon-pqq.jpg
81306192;Рутин;Рутин;;81304983;https://images.prom.ua/3229692532_rutin.jpg
81306460;Профилактика;Профілактика;;136052335;https://images.prom.ua/2136908267_profilaktika.jpg
81306652;Аллергия;Алергія;;81306460;https://images.prom.ua/6167723678_allergiya.jpg
81306658;Кандидоз, молочница;Кандидоз, молочниця;;81306460;https://images.prom.ua/3229694931_kandidoz-molochnitsa.jpg
81306727;Простуда, грипп, ОРВИ;Простий, грип, ГРВІ;;81306460;https://images.prom.ua/3229702910_prostuda-gripp-orvi.jpg
81306770;Продукты пчеловодства;Продукти бджільництва;;136052335;https://images.prom.ua/2136919030_produkty-pchelovodstva.jpg
81306789;Суперфуды;Суперфуди;;136052335;https://images.prom.ua/2136947939_superfudy.jpg
81306794;Спирулина;Спіруліна;;81306789;https://images.prom.ua/3229708714_spirulina.jpg
81306795;Ламинария;Ламінарія;;81306789;https://images.prom.ua/6167723868_laminariya.jpg
81306855;Хлорелла;Хлорела;;81306789;https://images.prom.ua/3229710673_hlorella.jpg
81307798;Масла;Масла;;136054110;https://images.prom.ua/2133856381_masla.jpg
81510477;Уход за кожей вокруг глаз;Догляд за шкірою навколо очей;;72958748;https://images.prom.ua/2134605544_uhod-za-kozhej.jpg
81510820;Сыворотка для лица;Сироватка для обличчя;;72958748;https://images.prom.ua/3229074339_syvorotka-dlya-litsa.jpg
81510839;Крем для лица;Крем для обличчя;;72958748;https://images.prom.ua/3229077264_krem-dlya-litsa.jpg
81511592;Тоник для лица;Тонік для обличчя;;72958748;https://images.prom.ua/3229096216_tonik-dlya-litsa.jpg
81511596;Маска для лица;Маска для обличчя;;72958748;https://images.prom.ua/3229099624_maska-dlya-litsa.jpg
82051787;Комплексы поддержки печени;Комплекси підтримки печінки;;113587347;https://images.prom.ua/3229599848_kompleksy-podderzhki-pecheni.jpg
82092058;Гель для лица;Гель для обличчя;;72958748;https://images.prom.ua/3229108188_gel-dlya-litsa.jpg
82092059;Пилинг и скраб для лица;Пілінг і скраб для обличчя;;72958748;https://images.prom.ua/3229109752_piling-i-skrab.jpg
82092063;Средства для снятия макияжа;Засоби для зняття макіяжу;;72958748;https://images.prom.ua/3229114705_sredstva-dlya-snyatiya.jpg
82092076;Шампунь для волос;Шампунь для волосся;;72958753;https://images.prom.ua/3229119054_shampun-dlya-volos.jpg
82092195;Косметические наборы;Косметичні набори;;72958754;https://images.prom.ua/3229350846_kosmeticheskie-nabory.jpg
82092225;Крем для тела;Крем для тіла;;72958756;https://images.prom.ua/3229157941_krem-dlya-tela.jpg
82092316;Масло для тела;Олія для тіла;;72958756;https://images.prom.ua/3229161146_maslo-dlya-tela.jpg
82321360;Масло для волос;Олія для волосся;;72958753;https://images.prom.ua/3229130705_maslo-dlya-volos.jpg
82321372;Кондиционер для волос;Кондиціонер для волосся;;72958753;https://images.prom.ua/3229137023_konditsioner-dlya-volos.jpg
82321377;Маска для волос;Маска для волосся;;72958753;https://images.prom.ua/3229141553_maska-dlya-volos.jpg
82321647;Спрей и блеск для волос;Спрей і блиск для волосся;;72958753;https://images.prom.ua/6167724206_sprej-i-blesk.jpg
82321664;Уход за ногами;Догляд за ногами;;72958756;https://images.prom.ua/3229152884_uhod-za-nogami.jpg
82321728;Лосьон и молочко для тела;Лосьйон для тіла та молочко для тіла;;72958756;https://images.prom.ua/3229170341_loson-i-molochko.jpg
82321756;Дезодоранты;Дезодоранти;;72958756;https://images.prom.ua/3229173438_dezodoranty.jpg
82321919;Средства от солнца и для загара;Засоби від сонця та для засмаги;;72958756;https://images.prom.ua/3229183631_sredstva-ot-solntsa.jpg
82411616;Тональный крем;Тональний крем;;113590269;https://images.prom.ua/3229329116_tonalnyj-krem.jpg
